instrucciones_pasiva,instrucciones_activa,digitSpan_trainAF,digits_trainAF,fixation_time_trainAF,answer_trainAF,digitSpan_AF,digits_AF,fixation_time_AF,answer_AF,instrucloop.thisRepN,instrucloop.thisTrialN,instrucloop.thisN,instrucloop.thisIndex,trial_trainingAF.thisRepN,trial_trainingAF.thisTrialN,trial_trainingAF.thisN,trial_trainingAF.thisIndex,train_digitloopAF.thisRepN,train_digitloopAF.thisTrialN,train_digitloopAF.thisN,train_digitloopAF.thisIndex,trial_AF.thisRepN,trial_AF.thisTrialN,trial_AF.thisN,trial_AF.thisIndex,digitLoop_AF.thisRepN,digitLoop_AF.thisTrialN,digitLoop_AF.thisN,digitLoop_AF.thisIndex,fixation_press_training.started,fixation_press_training.stopped,firstfixtrain.started,firstfixtrain.stopped,digitpresentation_training.started,digitpresentation_training.stopped,recall_train.started,recall_train.stopped,answ_train.text,answ_train.started,answ_train.stopped,next_train.numClicks,next_train.timesOn,next_train.timesOff,correct,end_training.started,end_training.stopped,press_fixation.started,press_fixation.stopped,first_fix.started,first_fix.stopped,pres_text.started,pres_text.stopped,recall_txt.started,recall_txt.stopped,answer_box.text,answer_box.started,answer_box.stopped,button_next.numClicks,button_next.timesOn,button_next.timesOff,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,3,294.0,0.55,492.0,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,0,,,86.32196823364939,None,88.94981831795303,None,91.50898228914593,91.50898228914593,92.50874007379753,None,492,92.50874007379753,None,2,"[12.897078185080318, 6.795562450715806]","[12.897083932562964, 6.795566556043923]",1,001,2022-06-09_16h34.36.297,DigitSpanTask_activeback,2022.1.3,58.94100452089592,
,,,,,,4,1358.0,0.55,8531.0,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,0,,,99.30574021625216,None,100.74643994763028,None,104.30828224573634,None,105.30757325270679,None,8531,105.30757325270679,None,3,"[12.897078185080318, 6.795562450715806, 8.117882512422511]","[12.897083932562964, 6.795566556043923, 8.117886617779732]",1,001,2022-06-09_16h34.36.297,DigitSpanTask_activeback,2022.1.3,58.94100452089592,
,,,,,,4,2047.0,0.55,7402.0,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,0,,,113.42684172952431,None,115.39379288288183,None,118.95409157135873,118.95409157135873,119.970253082196,None,7402,119.970253082196,None,4,"[12.897078185080318, 6.795562450715806, 8.117882512422511, 7.490758253086824]","[12.897083932562964, 6.795566556043923, 8.117886617779732, 7.490762768953573]",1,001,2022-06-09_16h34.36.297,DigitSpanTask_activeback,2022.1.3,58.94100452089592,
,,,,,,5,15396.0,0.55,69351.0,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,0,,,127.4618894685118,None,129.47956174623687,None,134.03837347880471,134.03837347880471,135.03869328516885,None,69351,135.03869328516885,None,5,"[12.897078185080318, 6.795562450715806, 8.117882512422511, 7.490758253086824, 6.676636359654367]","[12.897083932562964, 6.795566556043923, 8.117886617779732, 7.490762768953573, 6.676640875521116]",1,001,2022-06-09_16h34.36.297,DigitSpanTask_activeback,2022.1.3,58.94100452089592,
,,,,,,5,90761.0,0.55,16709.0,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,0,,,141.7173310004,None,145.14132772598532,None,149.70060705734068,149.70060705734068,150.70039850581088,None,16709,150.70039850581088,None,6,"[12.897078185080318, 6.795562450715806, 8.117882512422511, 7.490758253086824, 6.676636359654367, 10.625962446763879]","[12.897083932562964, 6.795566556043923, 8.117886617779732, 7.490762768953573, 6.676640875521116, 10.625966552091995]",1,001,2022-06-09_16h34.36.297,DigitSpanTask_activeback,2022.1.3,58.94100452089592,
,,,,,,6,835420.0,0.55,24538.0,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,0,,,161.32824653745047,None,163.51433114285464,None,169.07422176006366,169.07422176006366,170.0750296919141,None,024538,170.0750296919141,None,7,"[12.897078185080318, 6.795562450715806, 8.117882512422511, 7.490758253086824, 6.676636359654367, 10.625962446763879, 6.336627188313287]","[12.897083932562964, 6.795566556043923, 8.117886617779732, 7.490762768953573, 6.676640875521116, 10.625966552091995, 6.336631293641403]",1,001,2022-06-09_16h34.36.297,DigitSpanTask_activeback,2022.1.3,58.94100452089592,
,,,,,,6,615739.0,0.55,937516.0,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,0,,,176.41337086167186,None,182.51593838533154,None,188.07533964543836,188.07533964543836,189.07654127985006,None,937516,189.07654127985006,None,8,"[12.897078185080318, 6.795562450715806, 8.117882512422511, 7.490758253086824, 6.676636359654367, 10.625962446763879, 6.336627188313287, 10.455240041570505]","[12.897083932562964, 6.795566556043923, 8.117886617779732, 7.490762768953573, 6.676640875521116, 10.625966552091995, 6.336631293641403, 10.455244146927726]",1,001,2022-06-09_16h34.36.297,DigitSpanTask_activeback,2022.1.3,58.94100452089592,
,,,,,,7,1032458.0,0.55,8542301.0,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,0,,,199.53287498527789,None,201.33027498831507,None,207.89057696104283,None,208.89064552029595,None,8532401,208.89064552029595,None,9,"[12.897078185080318, 6.795562450715806, 8.117882512422511, 7.490758253086824, 6.676636359654367, 10.625962446763879, 6.336627188313287, 10.455240041570505, 9.626566753519]","[12.897083932562964, 6.795566556043923, 8.117886617779732, 7.490762768953573, 6.676640875521116, 10.625966552091995, 6.336631293641403, 10.455244146927726, 9.626587690785527]",1,001,2022-06-09_16h34.36.297,DigitSpanTask_activeback,2022.1.3,58.94100452089592,
,,,,,,7,7864201.0,0.55,1024687.0,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,0,,,218.51769670451176,None,222.17913836202933,None,228.738925113983,228.738925113983,229.739815152745,None,,229.739815152745,None,10,"[12.897078185080318, 6.795562450715806, 8.117882512422511, 7.490758253086824, 6.676636359654367, 10.625962446763879, 6.336627188313287, 10.455240041570505, 9.626566753519, 0.574715017224662]","[12.897083932562964, 6.795566556043923, 8.117886617779732, 7.490762768953573, 6.676640875521116, 10.625966552091995, 6.336631293641403, 10.455244146927726, 9.626587690785527, 0.5747199436300434]",1,001,2022-06-09_16h34.36.297,DigitSpanTask_activeback,2022.1.3,58.94100452089592,
,,,,,,8,98614052.0,0.55,25041689.0,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,0,,,230.31586071223137,None,236.21492998950998,None,243.77432673372095,243.77432673372095,244.77447452614433,None,,244.77447452614433,None,11,"[12.897078185080318, 6.795562450715806, 8.117882512422511, 7.490758253086824, 6.676636359654367, 10.625962446763879, 6.336627188313287, 10.455240041570505, 9.626566753519, 0.574715017224662, 0.6764401241671294]","[12.897083932562964, 6.795566556043923, 8.117886617779732, 7.490762768953573, 6.676640875521116, 10.625966552091995, 6.336631293641403, 10.455244146927726, 9.626587690785527, 0.5747199436300434, 0.6764454611111432]",1,001,2022-06-09_16h34.36.297,DigitSpanTask_activeback,2022.1.3,58.94100452089592,
,,,,,,8,85370192.0,0.55,29107358.0,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,0,,,245.45231703607715,None,253.63975845792447,None,261.2002221812727,261.2002221812727,262.2175381150446,None,,262.2175381150446,None,12,"[12.897078185080318, 6.795562450715806, 8.117882512422511, 7.490758253086824, 6.676636359654367, 10.625962446763879, 6.336627188313287, 10.455240041570505, 9.626566753519, 0.574715017224662, 0.6764401241671294, 0.8956696412642486]","[12.897083932562964, 6.795566556043923, 8.117886617779732, 7.490762768953573, 6.676640875521116, 10.625966552091995, 6.336631293641403, 10.455244146927726, 9.626587690785527, 0.5747199436300434, 0.6764454611111432, 0.8956741571309976]",1,001,2022-06-09_16h34.36.297,DigitSpanTask_activeback,2022.1.3,58.94100452089592,
,,,,,,9,914725608.0,0.55,806527419.0,,,,,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,0,,,263.09836611381616,None,267.09903980090166,None,275.6592268240056,275.6592268240056,276.659060968057,None,,276.659060968057,None,13,"[12.897078185080318, 6.795562450715806, 8.117882512422511, 7.490758253086824, 6.676636359654367, 10.625962446763879, 6.336627188313287, 10.455240041570505, 9.626566753519, 0.574715017224662, 0.6764401241671294, 0.8956696412642486, 0.9648824701434933]","[12.897083932562964, 6.795566556043923, 8.117886617779732, 7.490762768953573, 6.676640875521116, 10.625966552091995, 6.336631293641403, 10.455244146927726, 9.626587690785527, 0.5747199436300434, 0.6764454611111432, 0.8956741571309976, 0.9648869860102423]",1,001,2022-06-09_16h34.36.297,DigitSpanTask_activeback,2022.1.3,58.94100452089592,
,,,,,,9,807243561.0,0.55,165342708.0,,,,,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,0,,,277.6253084653581,None,282.37142860662425,None,290.9310733136663,290.9310733136663,291.9311086196103,None,,291.9311086196103,None,14,"[12.897078185080318, 6.795562450715806, 8.117882512422511, 7.490758253086824, 6.676636359654367, 10.625962446763879, 6.336627188313287, 10.455240041570505, 9.626566753519, 0.574715017224662, 0.6764401241671294, 0.8956696412642486, 0.9648824701434933, 0.5899359935719986]","[12.897083932562964, 6.795566556043923, 8.117886617779732, 7.490762768953573, 6.676640875521116, 10.625966552091995, 6.336631293641403, 10.455244146927726, 9.626587690785527, 0.5747199436300434, 0.6764454611111432, 0.8956741571309976, 0.9648869860102423, 0.5899421515932772]",1,001,2022-06-09_16h34.36.297,DigitSpanTask_activeback,2022.1.3,58.94100452089592,
,,,,,,10,4319625078.0,0.55,8705269134.0,,,,,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,0,,,292.5240944738325,None,294.27013045555213,None,303.82993321836693,303.82993321836693,304.83011385353166,None,,304.83011385353166,None,15,"[12.897078185080318, 6.795562450715806, 8.117882512422511, 7.490758253086824, 6.676636359654367, 10.625962446763879, 6.336627188313287, 10.455240041570505, 9.626566753519, 0.574715017224662, 0.6764401241671294, 0.8956696412642486, 0.9648824701434933, 0.5899359935719986, 8.150937517057173]","[12.897083932562964, 6.795566556043923, 8.117886617779732, 7.490762768953573, 6.676640875521116, 10.625966552091995, 6.336631293641403, 10.455244146927726, 9.626587690785527, 0.5747199436300434, 0.6764454611111432, 0.8956741571309976, 0.9648869860102423, 0.5899421515932772, 8.150942032953026]",1,001,2022-06-09_16h34.36.297,DigitSpanTask_activeback,2022.1.3,58.94100452089592,
